,coverage,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,coverage_by_name/experiments.numeric.fn_counters,config/dropout,config/hidden_size,config/l1_reg,config/l2_reg,config/num_layers,config/opt_batch_per_epoch,config/supervised_batch_size,config/supervised_learning_rate,config/target_rollouts_per_epoch,logdir
24,0.2,1390.5503623485563,False,,,1,a72ffd69,2184f357db5b4645a5d964db830eba8a,2023-07-11_20-17-55,1689106675,1390.5503623485563,62716,1465bae07e22,172.17.0.2,1390.5503623485563,0,1,0.0028772354125976,0.2,0.1,17,0.0,0.0003398263925512812,2,118,107,0.007630691064509201,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_a72ffd69_38_dropout=0.1000,hidden_size=17,l1_reg=0.0000,l2_reg=0.0003,num_layers=2,opt_batch_per_epoch=118,supervise_2023-07-11_19-54-44"
25,0.525,996.6113047599792,False,,,1,afc7987b,b67513bb1e354d558911b5518951eb83,2023-07-11_20-57-09,1689109029,996.6113047599792,62614,1465bae07e22,172.17.0.2,996.6113047599792,0,1,0.0025944709777832,0.525,0.25,16,0.0,3.0125549358804175e-05,2,99,75,0.003727555422532191,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_afc7987b_43_dropout=0.2500,hidden_size=16,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=99,supervised_2023-07-11_20-40-33"
26,0.45,1348.0920660495758,False,,,1,b0adc2c3,b67513bb1e354d558911b5518951eb83,2023-07-11_13-39-10,1689082750,1348.0920660495758,62614,1465bae07e22,172.17.0.2,1348.0920660495758,0,1,0.0025944709777832,0.45,0.25,13,0.0,0.00043237757007787977,2,175,107,0.006734163948048004,14,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_b0adc2c3_1_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0004,num_layers=2,opt_batch_per_epoch=175,supervised_2023-07-11_13-16-38"
27,0.45,1719.7284700870514,False,,,1,c425ce77,2184f357db5b4645a5d964db830eba8a,2023-07-11_19-54-44,1689105284,1719.7284700870514,62716,1465bae07e22,172.17.0.2,1719.7284700870514,0,1,0.0028772354125976,0.45,0.1,14,0.0,0.0005697384207734645,2,137,113,0.00010853244880047226,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c425ce77_36_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0006,num_layers=2,opt_batch_per_epoch=137,supervise_2023-07-11_19-26-04"
28,0.625,1213.6540818214417,False,,,1,c7d772d7,b67513bb1e354d558911b5518951eb83,2023-07-11_21-37-18,1689111438,1213.6540818214417,62614,1465bae07e22,172.17.0.2,1213.6540818214417,0,1,0.0025944709777832,0.625,0.25,14,0.0,0.002236745564324652,2,144,123,0.00020639035833737272,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c7d772d7_46_dropout=0.2500,hidden_size=14,l1_reg=0.0000,l2_reg=0.0022,num_layers=2,opt_batch_per_epoch=144,supervise_2023-07-11_21-17-04"
29,0.625,1307.3279387950895,False,,,1,c903cbbb,b67513bb1e354d558911b5518951eb83,2023-07-11_14-00-57,1689084057,1307.3279387950895,62614,1465bae07e22,172.17.0.2,1307.3279387950895,0,1,0.0025944709777832,0.625,0.25,13,0.0,0.00035499073558613775,2,166,110,0.006156572774086024,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c903cbbb_4_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0004,num_layers=2,opt_batch_per_epoch=166,supervised_2023-07-11_13-39-10"
30,0.55,1142.645958185196,False,,,1,cabf4bce,b67513bb1e354d558911b5518951eb83,2023-07-11_15-40-29,1689090029,1142.645958185196,62614,1465bae07e22,172.17.0.2,1142.645958185196,0,1,0.0025944709777832,0.55,0.0,18,0.0,0.0009782922770621707,2,155,101,0.0019290290394708926,12,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_cabf4bce_13_dropout=0,hidden_size=18,l1_reg=0.0000,l2_reg=0.0010,num_layers=2,opt_batch_per_epoch=155,supervised_bat_2023-07-11_15-21-26"
31,0.45,1194.658375263214,False,,,1,cd7a9b08,b67513bb1e354d558911b5518951eb83,2023-07-11_21-17-04,1689110224,1194.658375263214,62614,1465bae07e22,172.17.0.2,1194.658375263214,0,1,0.0025944709777832,0.45,0.0,12,0.0,0.00027390229147998877,2,173,104,0.0070408684423542145,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_cd7a9b08_44_dropout=0,hidden_size=12,l1_reg=0.0000,l2_reg=0.0003,num_layers=2,opt_batch_per_epoch=173,supervised_bat_2023-07-11_20-57-09"
32,0.425,1331.034611940384,False,,,1,d59f8512,b67513bb1e354d558911b5518951eb83,2023-07-11_16-47-09,1689094029,1331.034611940384,62614,1465bae07e22,172.17.0.2,1331.034611940384,0,1,0.0025944709777832,0.425,0.0,17,0.0,6.970064859904054e-05,2,191,57,0.0005689908470672508,5,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d59f8512_19_dropout=0,hidden_size=17,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=191,supervised_bat_2023-07-11_16-24-58"
33,0.575,1094.8404500484469,False,,,1,d60e1118,b67513bb1e354d558911b5518951eb83,2023-07-11_20-40-33,1689108033,1094.8404500484469,62614,1465bae07e22,172.17.0.2,1094.8404500484469,0,1,0.0025944709777832,0.575,0.0,13,0.0,0.0015826293275347345,2,152,99,0.0050282018262979115,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d60e1118_41_dropout=0,hidden_size=13,l1_reg=0.0000,l2_reg=0.0016,num_layers=2,opt_batch_per_epoch=152,supervised_bat_2023-07-11_20-22-18"
34,0.175,1500.0203001499176,False,,,1,d674cfa9,2184f357db5b4645a5d964db830eba8a,2023-07-11_15-01-44,1689087704,1500.0203001499176,62716,1465bae07e22,172.17.0.2,1500.0203001499176,0,1,0.0028772354125976,0.175,0.1,14,0.0,4.111733168479079e-05,2,184,99,0.0053813185705630625,11,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d674cfa9_9_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=184,supervised_2023-07-11_14-36-44"
35,0.35,1219.2710525989532,False,,,1,d700ce42,2184f357db5b4645a5d964db830eba8a,2023-07-11_16-51-45,1689094305,1219.2710525989532,62716,1465bae07e22,172.17.0.2,1219.2710525989532,0,1,0.0028772354125976,0.35,0.0,16,0.0,1.3387394535221214e-05,2,110,96,0.007939803794743298,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d700ce42_20_dropout=0,hidden_size=16,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=110,supervised_bat_2023-07-11_16-31-25"
36,0.4,1286.4744408130646,False,,,1,d9bc988c,b67513bb1e354d558911b5518951eb83,2023-07-11_19-38-13,1689104293,1286.4744408130646,62614,1465bae07e22,172.17.0.2,1286.4744408130646,0,1,0.0025944709777832,0.4,0.25,12,0.0,0.0018340666562944666,2,179,107,0.00613928118192711,5,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d9bc988c_35_dropout=0.2500,hidden_size=12,l1_reg=0.0000,l2_reg=0.0018,num_layers=2,opt_batch_per_epoch=179,supervise_2023-07-11_19-16-46"
37,0.625,1116.9196202754974,False,,,1,da7c4f31,2184f357db5b4645a5d964db830eba8a,2023-07-11_19-26-04,1689103564,1116.9196202754974,62716,1465bae07e22,172.17.0.2,1116.9196202754974,0,1,0.0028772354125976,0.625,0.1,18,0.0,3.065798712228962e-05,2,157,121,0.009890362865144098,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_da7c4f31_34_dropout=0.1000,hidden_size=18,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=157,supervise_2023-07-11_19-07-28"
38,0.15,1226.0860347747805,False,,,1,ddc56a8c,2184f357db5b4645a5d964db830eba8a,2023-07-11_14-12-15,1689084735,1226.0860347747805,62716,1465bae07e22,172.17.0.2,1226.0860347747805,0,1,0.0028772354125976,0.15,0.0,12,0.0,5.592824378605795e-05,2,91,107,0.0022792631185185844,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_ddc56a8c_5_dropout=0,hidden_size=12,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=91,supervised_batch_2023-07-11_13-51-49"
39,0.35,1605.060992717743,False,,,1,e090b859,2184f357db5b4645a5d964db830eba8a,2023-07-11_21-27-35,1689110855,1605.060992717743,62716,1465bae07e22,172.17.0.2,1605.060992717743,0,1,0.0028772354125976,0.35,0.1,13,0.0,0.00015614762784559158,2,158,118,0.0015813678118503935,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_e090b859_45_dropout=0.1000,hidden_size=13,l1_reg=0.0000,l2_reg=0.0002,num_layers=2,opt_batch_per_epoch=158,supervise_2023-07-11_21-00-50"
40,0.175,1228.99933218956,False,,,1,e0da621a,b67513bb1e354d558911b5518951eb83,2023-07-11_22-14-55,1689113695,1228.99933218956,62614,1465bae07e22,172.17.0.2,1228.99933218956,0,1,0.0025944709777832,0.175,0.1,16,0.0,0.004391546593200105,2,131,100,0.0027446940532768827,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_e0da621a_50_dropout=0.1000,hidden_size=16,l1_reg=0.0000,l2_reg=0.0044,num_layers=2,opt_batch_per_epoch=131,supervise_2023-07-11_21-54-26"
41,0.325,1379.3981623649595,False,,,1,e1fd9661,2184f357db5b4645a5d964db830eba8a,2023-07-11_17-14-44,1689095684,1379.3981623649595,62716,1465bae07e22,172.17.0.2,1379.3981623649595,0,1,0.0028772354125976,0.325,0.25,15,0.0,0.0012409895521257087,2,173,94,0.0010898999983686769,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_e1fd9661_22_dropout=0.2500,hidden_size=15,l1_reg=0.0000,l2_reg=0.0012,num_layers=2,opt_batch_per_epoch=173,supervise_2023-07-11_16-51-45"
42,0.325,1355.6392831802368,False,,,1,e9058122,b67513bb1e354d558911b5518951eb83,2023-07-11_20-00-49,1689105649,1355.6392831802368,62614,1465bae07e22,172.17.0.2,1355.6392831802368,0,1,0.0025944709777832,0.325,0.25,13,0.0,0.00016188298245369006,2,166,120,0.004358823778304838,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_e9058122_37_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0002,num_layers=2,opt_batch_per_epoch=166,supervise_2023-07-11_19-38-13"
43,0.375,1479.5423827171326,False,,,1,e9f519f3,2184f357db5b4645a5d964db830eba8a,2023-07-11_19-07-28,1689102448,1479.5423827171326,62716,1465bae07e22,172.17.0.2,1479.5423827171326,0,1,0.0028772354125976,0.375,0.25,12,0.0,0.0006940751288821132,2,178,104,0.0009125828750508754,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_e9f519f3_32_dropout=0.2500,hidden_size=12,l1_reg=0.0000,l2_reg=0.0007,num_layers=2,opt_batch_per_epoch=178,supervise_2023-07-11_18-42-48"
44,0.325,1184.4508447647097,False,,,1,ea327bde,b67513bb1e354d558911b5518951eb83,2023-07-11_15-00-37,1689087637,1184.4508447647097,62614,1465bae07e22,172.17.0.2,1184.4508447647097,0,1,0.0025944709777832,0.325,0.25,14,0.0,0.00012175463368230475,2,77,118,0.0012916961936468296,11,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_ea327bde_10_dropout=0.2500,hidden_size=14,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=77,supervised_2023-07-11_14-40-53"
45,0.525,1047.8303081989288,False,,,1,ee511967,2184f357db5b4645a5d964db830eba8a,2023-07-11_13-34-12,1689082452,1047.8303081989288,62716,1465bae07e22,172.17.0.2,1047.8303081989288,0,1,0.0028772354125976,0.525,0.0,17,0.0,0.00011045620911970918,2,54,84,0.0007448029472348227,13,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_ee511967_2_dropout=0,hidden_size=17,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=54,supervised_batch_2023-07-11_13-16-42"
46,0.2,1412.3808495998385,False,,,1,ee8ceeff,b67513bb1e354d558911b5518951eb83,2023-07-11_17-32-04,1689096724,1412.3808495998385,62614,1465bae07e22,172.17.0.2,1412.3808495998385,0,1,0.0025944709777832,0.2,0.1,14,0.0,0.0002472291068176183,2,196,110,0.009364996218357902,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_ee8ceeff_23_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0002,num_layers=2,opt_batch_per_epoch=196,supervise_2023-07-11_17-08-32"
47,0.45,1056.2592091560364,False,,,1,ef3e7c96,2184f357db5b4645a5d964db830eba8a,2023-07-11_13-51-49,1689083509,1056.2592091560364,62716,1465bae07e22,172.17.0.2,1056.2592091560364,0,1,0.0028772354125976,0.45,0.1,17,0.0,5.650709629724701e-05,2,54,117,0.0043801041187105485,12,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_ef3e7c96_3_dropout=0.1000,hidden_size=17,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=54,supervised__2023-07-11_13-34-12"
48,0.525,1392.3820185661316,False,,,1,f78925bb,2184f357db5b4645a5d964db830eba8a,2023-07-11_18-42-48,1689100968,1392.3820185661316,62716,1465bae07e22,172.17.0.2,1392.3820185661316,0,1,0.0028772354125976,0.525,0.1,15,0.0,0.007078257486263811,2,119,65,0.00034987943035297883,11,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_f78925bb_30_dropout=0.1000,hidden_size=15,l1_reg=0.0000,l2_reg=0.0071,num_layers=2,opt_batch_per_epoch=119,supervise_2023-07-11_18-19-36"
49,0.3,1269.5176315307615,False,,,1,fbac5024,b67513bb1e354d558911b5518951eb83,2023-07-11_14-22-07,1689085327,1269.5176315307615,62614,1465bae07e22,172.17.0.2,1269.5176315307615,0,1,0.0025944709777832,0.3,0.1,12,0.0,9.825417001191641e-05,2,71,63,0.0004975910267821589,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_fbac5024_6_dropout=0.1000,hidden_size=12,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=71,supervised__2023-07-11_14-00-57"
